"";"dia";"n_simul"
"181";2020-09-08;1784,39132339464
"182";2020-09-09;1780,46337665277
"183";2020-09-10;1776,23459365289
"184";2020-09-11;1771,71157166467
"185";2020-09-12;1766,90094761926
"186";2020-09-13;1761,80939074821
"187";2020-09-14;1756,44359545244
"188";2020-09-15;1750,81027440313
"189";2020-09-16;1744,91615187316
"190";2020-09-17;1738,76795730245
"191";2020-09-18;1732,37241909374
"192";2020-09-19;1725,73625864086
"193";2020-09-20;1718,8661845866
"194";2020-09-21;1711,76888730965
"195";2020-09-22;1704,45103363879
"196";2020-09-23;1696,91926179189
"197";2020-09-24;1689,18017653786
"198";2020-09-25;1681,24034457779
"199";2020-09-26;1673,10629014406
"200";2020-09-27;1664,7844908124
"201";2020-09-28;1656,28137352495
"202";2020-09-29;1647,60331081969
